"P001001","P006001","P006002","P006003","P006005","P006008","P007010","H011001","H011002","H011003","H011004","H011006","H011009","P148B009","P148D017","PCT038016","PCT038017","PCT038018","PCT038019","NAME","state","county",
"2218899","2218899","1294761","447715","87446","61251","663125","807621","424788","307207","66854","12138","7261","4936","3979","14750","7095","7000","9602","Dallas County","48","113",
"14985","14985","10925","1306","52","287","7206","4726","3469","2829","97","14","40","0","0","18","2","6","0","Dawson County","48","115",
"18561","18561","13190","386","77","386","10711","6180","4168","3337","50","19","66","0","5","56","0","12","32","Deaf Smith County","48","117",
"5327","5327","4627","503","14","142","43","2094","1614","1496","92","0","16","10","0","17","0","3","0","Delta County","48","119",
"432976","432976","353699","25126","17110","10082","52365","158903","102469","90818","3860","3047","1402","592","773","6799","3583","3167","2460","Denton County","48","121",
"20013","20013","15316","2108","30","443","5465","7207","5524","4664","394","0","68","5","0","113","20","18","10","DeWitt County","48","123",
"2762","2762","2153","217","5","17","646","980","761","652","16","2","2","0","0","0","2","0","0","Dickens County","48","125",
"10248","10248","7898","130","28","226","8743","3308","2446","1964","12","4","46","11","0","0","0","5","7","Dimmit County","48","127",
"3828","3828","3444","155","7","28","222","1578","1174","1137","16","0","0","0","0","9","0","0","7","Donley County","48","129",
"13120","13120","10605","51","4","462","11566","4350","3515","2991","0","0","111","0","0","21","12","1","0","Duval County","48","131",
"18297","18297","16714","255","12","364","1967","7321","5614","5335","24","1","51","9","3","37","23","14","8","Eastland County","48","133",
"121123","121123","89212","5405","880","3779","51344","43846","30098","24101","1016","156","679","40","33","329","121","80","124","Ector County","48","135",
"2162","2162","1845","11","10","46","986","801","638","560","2","2","11","0","0","0","2","0","3","Edwards County","48","137",
"111360","111360","90310","9612","441","1911","20317","37020","28226","24752","1759","75","335","28","31","908","427","389","254","Ellis County","48","139",
"679622","679622","503682","20552","6956","20968","531967","210022","133596","105647","3208","1111","3762","445","290","2321","878","786","963","El Paso County","48","141",
"33001","33001","29608","221","264","517","4943","12568","7926","7475","39","34","114","13","6","163","57","49","57","Erath County","48","143",
"18576","18576","11480","5100","6","282","2948","6496","4656","3467","856","0","36","9","0","50","10","9","5","Falls County","48","145",
"31242","31242","27047","2451","73","445","1769","11105","8291","7788","244","14","97","0","0","84","37","26","45","Fannin County","48","147",
"21804","21804","18486","1476","30","245","2759","8722","6817","6121","351","0","27","0","0","107","38","23","20","Fayette County","48","149",
"4344","4344","3657","110","7","66","943","1785","1371","1249","14","0","17","0","0","5","8","7","3","Fisher County","48","151",
"7771","7771","5796","198","0","205","3577","2730","2019","1684","40","0","32","0","0","29","8","14","10","Floyd County","48","153",
"1622","1622","1386","40","5","28","263","664","498","453","12","2","6","0","0","0","0","2","0","Foard County","48","155",
"354452","354452","201243","70812","38774","9078","74786","110915","89628","56212","16782","9308","1721","1570","1954","5635","3564","2900","2817","Fort Bend County","48","157",
"9458","9458","8435","380","8","61","830","3754","2965","2744","99","8","17","2","0","42","18","2","15","Franklin County","48","159",
"17867","17867","13544","3301","36","209","1507","6588","5181","4218","806","16","25","22","4","55","14","0","11","Freestone County","48","161",
"16252","16252","11763","760","68","337","12013","4743","3272","2608","0","6","67","0","0","21","7","9","0","Frio County","48","163",
"14467","14467","11544","534","7","252","5178","4681","3679","3124","52","0","66","0","3","48","7","35","6","Gaines County","48","165",
"250158","250158","181865","38095","5275","5875","45153","94782","62790","51687","6489","920","893","343","384","2370","953","647","604","Galveston County","48","167",
"4872","4872","3627","302","0","109","1810","1663","1179","961","52","0","5","6","0","24","0","0","0","Garza County","48","169",
"20814","20814","19316","34","58","201","3328","8521","6604","6311","9","15","61","0","0","53","28","11","25","Gillespie County","48","171",
"1406","1406","1094","1","0","29","420","483","325","298","0","0","2","0","0","10","2","1","10","Glasscock County","48","173",
"6928","6928","5688","336","2","233","2434","2644","2122","1825","117","0","38","1","0","32","4","8","10","Goliad County","48","175",
"18628","18628","13494","1600","22","452","7429","6782","4691","3810","376","0","63","0","0","82","20","22","4","Gonzales County","48","177",
"22744","22744","18541","1300","90","769","2953","8793","6810","6089","173","15","166","0","8","104","27","7","10","Gray County","48","179",
"110595","110595","96638","6550","647","2345","7071","42849","30228","27987","1108","84","436","26","21","581","215","162","154","Grayson County","48","181",
"111379","111379","80949","22518","644","1673","9873","42687","27366","22148","4182","89","239","166","21","503","210","238","255","Gregg County","48","183",
"23552","23552","17052","4689","107","369","3827","7753","6032","4910","875","9","69","11","0","56","33","9","32","Grimes County","48","185",
"89023","89023","69384","4397","896","2253","29520","30900","23799","20051","1039","158","402","61","16","396","214","166","161","Guadalupe County","48","187",
"36602","36602","24274","2072","323","753","17565","11975","7765","6098","260","54","102","4","30","137","21","36","28","Hale County","48","189",
"3782","3782","2688","292","6","60","1042","1548","1150","976","41","3","7","0","0","3","0","0","0","Hall County","48","191",
"8229","8229","7749","0","3","67","617","3374","2624","2576","0","0","9","0","0","9","23","6","13","Hamilton County","48","193",
"5369","5369","4259","0","8","125","1709","2005","1491","1301","0","0","16","0","0","7","10","5","10","Hansford County","48","195",
"4724","4724","3975","261","22","102","713","1943","1423","1288","54","6","14","0","6","7","8","0","5","Hardeman County","48","197",
"48073","48073","43496","3328","278","548","1176","17805","14694","13801","713","63","69","17","11","358","86","35","29","Hardin County","48","199",
"3400578","3400578","1994157","627111","171977","102669","1120625","1205516","667129","475062","94952","29092","13435","8012","7838","27613","13912","12511","13329","Harris County","48","201",
